BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName,Color
473563,VISA,CREDIT,CLASSIC,COMMUNITY CHOICE CREDIT UNION,+18772432528,https://www.communitychoicecu.com,US,USA,UNITED STATES,
473564,VISA,CREDIT,CLASSIC,SOUND CREDIT UNION,+12533832016,https://www.soundcu.com,US,USA,UNITED STATES,
473565,VISA,CREDIT,CLASSIC,FIFTH THIRD BANK,+18666715353,https://www.53.com,US,USA,UNITED STATES,
473566,VISA,CREDIT,CLASSIC,FREEDOM CREDIT UNION,+12156125900,https://freedomcu.org,US,USA,UNITED STATES,
473567,VISA,CREDIT,TRADITIONAL,ALLEGENT COMMUNITY FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473568,VISA,CREDIT,,CORPORATE AMERICA FAMILY CREDIT UNION,+18003591939,https://www.cafcu.org,US,USA,UNITED STATES,
473569,VISA,CREDIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,+17275366800,https://www.cscu.net,US,USA,UNITED STATES,
473570,VISA,CREDIT,CLASSIC,CHOICE ONE COMMUNITY F.C.U,+15708237676,https://choiceone.org,US,USA,UNITED STATES,
473571,VISA,CREDIT,TRADITIONAL,MON VALLEY COMMUNITY FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473573,VISA,CREDIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,+17275366800,https://www.cscu.net,US,USA,UNITED STATES,
473574,VISA,CREDIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,+17275366800,https://www.cscu.net,US,USA,UNITED STATES,
473575,VISA,CREDIT,CLASSIC,USX FEDERAL CREDIT UNION,+18882193159,https://www.usxfcu.org,US,USA,UNITED STATES,
473576,VISA,CREDIT,CLASSIC,C-B-W SCHOOLS FEDERAL CREDIT UNION,+18144875714,https://www.cbwsfcu.org,US,USA,UNITED STATES,
473577,VISA,CREDIT,CLASSIC,USSCO JOHNSTOWN FEDERAL CREDIT UNION,+18142664987,https://www.usscofcu.org,US,USA,UNITED STATES,
473578,VISA,CREDIT,TRADITIONAL,BLAIR COUNTY FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473579,VISA,CREDIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,+17275366800,https://www.cscu.net,US,USA,UNITED STATES,
473580,VISA,CREDIT,CLASSIC,CALIFORNIA COAST CREDIT UNION,+18774951600,https://www.calcoastcu.org,US,USA,UNITED STATES,
473581,VISA,CREDIT,CLASSIC,VENTURA COUNTY CREDIT UNION,+18003390496,https://www.vccuonline.net,US,USA,UNITED STATES,
473582,VISA,CREDIT,TRADITIONAL,COMENITY CAPITAL BANK,+18006755685,https://comenity.com,US,USA,UNITED STATES,
473583,VISA,CREDIT,BUSINESS,TEAM ONE CREDIT UNION,+18882883261,https://www.teamonecu.org,US,USA,UNITED STATES,
473584,VISA,CREDIT,CLASSIC,VALLEY FIRST CREDIT UNION,+18775494567,https://www.valleyfirstcu.org,US,USA,UNITED STATES,
473585,VISA,CREDIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,+17275366800,https://www.cscu.net,US,USA,UNITED STATES,
473587,VISA,CREDIT,CLASSIC,GAIN FEDERAL CREDIT UNION,+18188461710,https://gainfcu.com,US,USA,UNITED STATES,
473588,VISA,CREDIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,+17275366800,https://www.cscu.net,US,USA,UNITED STATES,
473589,VISA,CREDIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,+17275366800,https://www.cscu.net,US,USA,UNITED STATES,
